"query","search interest","increase percent"
"ai agent",100,"10%"
"real estate agent",42,"7%"
"travel agent",39,"6%"
"irs",25,"3%"
"registered agent",21,"-20%"
"hermes agent",17,"40%"
"irs phone number",17,"4%"
"irs agent phone number",16,"4%"
"xfinity",16,"10%"
"xfinity phone",16,"10%"
"allstate",13,"-3%"
"linkedin",12,"-10%"
"allstate insurance",11,"4%"
"allstate insurance agent",11,"7%"
"verizon",9,"2%"
"irs phone number live agent",9,"-10%"
"irs live agent phone number",8,"4%"
"amazon customer service",8,"10%"
"amazon customer service phone number",8,"20%"
"night agent",8,"-20%"
"trump phone",7,"70%"
"geico",7,"30%"
"allstate phone number",6,"-7%"
"xfinity internet",6,"4%"
"comcast xfinity",6,"-3%"
"transamerica",6,"8%"
"geico phone number",6,"20%"
"progressive phone number",6,"-20%"
"experian",5,"7%"
"progressive agent phone number",5,"-20%"
"mutual of omaha",5,"80%"
"xfinity customer service",5,"3%"
"comcast internet",5,"-10%"
"comcast business phone",5,"-8%"
"experian phone number",5,"10%"
"xfinity phone number customer service",5,"10%"
"xfinity customer service number",5,"10%"
"at&t",4,"2%"
"northwest registered agent",4,"-10%"
"allstate car insurance",4,"10%"
"liberty mutual",4,"40%"
"transamerica agent support phone number",4,"20%"
"homeowners insurance",4,"-2%"
"xfinity customer service phone number",3,"-10%"
"mutual of omaha agent support phone number",3,"90%"
"experian live agent phone number",3,"10%"
"xfinity live agent",3,"-10%"
"usps phone number",3,"30%"
"verizon live agent",3,"-20%"
"tire agent phone number",3,"10%"
